Title,Location,Shuttle shop,Neighbourhood
Kenneth Cobonpue,"IHFC - IH202, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Kenny Ball Antiques,"Market Square - G-42B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Kenny Ball Antiques,"Chelsea On Green - A200, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Kenroy Home,"IHFC - H333, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Kerri Rosenthal,"Suites At Market Square - G-7056, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Kevin L. Perry Inc,"Chelsea On Green - A305, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Kian USA,"243 S. Main St., 3rd Fl",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
"Kincaid Furniture Co., Inc., A Division of La-Z-Boy, Inc.","IHFC - C926, Commerce, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Kindel, Karges, Councill","200 Steele - 103, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
King Hickory Furniture Co,"200 N. Hamilton St. - N Ct 207, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
"King Textiles, LLC","312 S. Hamilton St. - 2nd Fl, Ste. 201-A",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
KingsHaven,"200 Steele - 301, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Kingsley Bate,"IHFC - IH111 , Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Kingston Bay Gallery,"Suites At Market Square - T-813, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Kith Furniture,"IHFC - M230, Main, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Klassic Kids,135 S. Hamilton St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Klaussner Home Furnishings,101 N. Hamilton St.,Shuttle Stop: 16 (Red Line),Neighborhood: Commerce Concourse
KMT Designs,"Suites At Market Square - M-7045, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Knorr Marketing,"Plaza Suites - 1-527 #10, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Koinor by Planum,"220 Elm - 329, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Koncept Inc.,"IHFC - H431, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Kravet Curated,"Suites At Market Square - G-1002, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
"Kravet, Lee Jofa, Brunschwig & Fils and Kravet Furniture","200 Steele - 117, Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Kristine Daniel Designs,"Suites At Market Square - G-4002, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Kristy Cohn Design,"Market Square - G-35, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Kristy Cohn Design,"Chelsea On Green - C101/ C102, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Kube Import,"220 Elm - 310, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
KUKA Home North America,"Furniture Plaza - 614, Floor 6",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
L n R Wholesale Furniture,"Plaza Suites - 1-533, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
La Cividina,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
LACEFIELD Designs,"IHFC - D319, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Lagoon,"Suites At Market Square - M-1043, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Lahka Designs,"IHFC - IH401, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Lakeshore Furniture,"Plaza Suites - 1-549, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Lambor Furnishings/Motion-1nnovations,114 S. Main St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Lamp Lady,"Market Square - G-31B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Lamps Per Se,"Centers of High Point: Hamilton - 112, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
LANCASTER,104 N. Main St.,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
Lane Home Furnishings,"IHFC - C1258, Commerce, Floor 12",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Lane Venture,"IHFC - M101, Main, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
"Lantern & Scroll, Inc","IHFC - IH209, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Laura Lee Designs,"Suites At Market Square - G-3025, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Laura Park,"Suites At Market Square - G-3012, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Laura Richard,308 Green Oak Dr. ,Shuttle Stop: 0 (Go Anywhere Shuttle),
Lazar Industries LLC,"200 Steele - 308, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
La-Z-Boy,"Furniture Plaza - 101, 103, CF3, CF5, CF7, CF8, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
La-Z-Boy Casegoods Group,"IHFC - C926, Commerce, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"La-Z-Boy, Inc.","IHFC - C900, Commerce, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
LC Direct,Mill on Centennial - 126 S. Centennial St. ,Shuttle Stop: 15 (Red Line),Neighborhood: Commerce Concourse
Le Petit Tresor,"Market Square - G-13, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
LEA Unlimited Inc.,"Showrooms at Centennial and Green - 300 S. Centennial St. , Floor 4",Shuttle Stop: 2 (Green Line),Neighborhood: Centennial Wrenn South
Leather Italia USA,247 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Leather Link Studio,"Suites At Market Square - T-606, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Leather Republic,"Showplace - 4200, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Leathercraft Inc,"200 N. Hamilton St. - N Ct 205, Floor 2",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Leathermakers,136 N. Main St.,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
LeatherWorks Design Studio,"National Furniture Mart - 200, Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Lee Industries Inc,100 S. Lindsay St.,Shuttle Stop: 29 (Red Line),Neighborhood: North Elm
Leftbank Art,"IHFC - H304, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
LEGACY CLASSIC | MODERN,"2622 Uwharrie Rd., High Point",Shuttle Stop: 0 (Go Anywhere Shuttle),
Legacy Classic Kids,2622 Uwharrie Rd. High Point,Shuttle Stop: 0 (Go Anywhere Shuttle),
Legacy Home,"IHFC - IH309, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Legacy Leather by Campio,224 E. Martin Luther King Jr. Dr.,Shuttle Stop: 16 (Red Line),Neighborhood: Hamilton Wrenn
Legend Accents / Legend of ASIA,"Suites At Market Square - G-3001, G-3015 , Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Legends Furniture,"IHFC - C601, Commerce, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Leif Petersen,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Lemieux Et Cie by Global Views,"IHFC - D213, D220, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Leonard Collection and Custom Framing,"Suites At Market Square - M-2000, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
LEVEL57 Art Studio ,"IHFC - H420, H411, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Lexington,"1300 National Highway, Thomasville, NC 27360",Shuttle Stop: 0 (Go Anywhere Shuttle),
Lexington Design Studio,116 E. Commerce Ave.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
LF Enterprises,142 S. Main St.,Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
LH Imports Ltd,205 S. Main St.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Libby Langdon for KAS Rugs,"IHFC - G270, Green, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Libeco Inc.,"Market Square Tower - 382, Floor 3",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Liberty Furniture Industries Inc.,"Centers of High Point: Manning - 101, 201, Floor 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"Lifestyle Enterprise, Inc.",320 E. Commerce Ave.,Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Lifestyle Solutions, Inc.","Atrium on Main - 101, Floor 1",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Lili Alessandra,"IHFC - H220, Hamilton, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Lillian August,"315 Fred Alexander Pl., Ste. 200",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Lily Koo,"IHFC - IH406, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Lily's Living, Inc.","Suites At Market Square - G-1028, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Linda Donohue Fine Art,"Suites At Market Square - M-6017, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Lineage Furniture,108 E. Martin Luther King Jr. Dr. ,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Linie Design,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Linon Home Decor Products,"National Furniture Mart -  100, 201, Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Liora Manné / Trans-Ocean Imports,"IHFC - H412, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Lite Source, Inc.","IHFC - H437, Hamilton, Floor 4",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Living Style Group | A Fung Company,"460 S. Main St., 3rd Fl",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Lloyd Flanders,"Market Square - 110, Floor 1",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Lo Forti Fine Prints,"Suites At Market Square - G-5017, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Loft Antiques,"Market Square - G-35, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Loft Antiques,"Chelsea On Green - A402, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Loloi Rugs,"IHFC - D320, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Longleaf Collection,"Suites At Market Square - M-6035, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Loominaries,"Suites At Market Square - M-6037, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Louis and Lavender,"Market Square - G-68B, G-70, G-72, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Louise Gaskill Company,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Lowcountry Originals,309 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
LR Home,"Showplace - 3415, 3435, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Luceplan,"Casa Italia - 130 W. Commerce Ave., FL 1 & FL 3 , Floor 1",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Lucky Fish Gallery,"Market Square - G-56, G-57, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Lucky Fish Gallery,100 S. Lindsay St. ,Shuttle Stop: 6 (Green Line),Neighborhood: North Elm
Lucky Furniture Brand Int'l Corp./Di Molini,300 Oak & Russell St,Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Luisana Designs and Antiques,"Market Square - G-4, G-1A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Luisana Designs and Antiques,"Chelsea On Green - H200/ H201, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Luke Leather,401 S. Wrenn St. ,Shuttle Stop: 10 (Green Line),Neighborhood: Centennial Wrenn South
LumiSource LLC,"Furniture Plaza - 500, Floor 6",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Luonto Furniture Inc.,"IHFC - D1004, D1036, Design Center, Floor 10",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
LUX Lighting,"Centers of High Point: Hamilton - 108, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Lux-Art Silks,"IHFC - D244, Design Center, Floor 2",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Luxe Decor Life,"Commerce & Design - 5J, 5K, Floor 5",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Luxfort Home,100 N. Main St. ,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
Lyn Hiner Studios,"Suites At Market Square - G-7060, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Lynette Harrison Fine Art,"Market Square - G-38, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
M Clement,"200 Steele - 301, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Mac Motion Chairs,"220 Elm - 208, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Made Goods,The Bank on Wrenn - 203 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Hamilton Wrenn
Madisons Inc.,"Suites At Market Square - G-5023, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Maggie Cruz Home,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
Magnolia Kids,"Centers of High Point: Hamilton - 026, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Magnolia Upholstery Design,"Centers of High Point: Hamilton - 131, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"Magnussen Home Furnishings, Inc.","IHFC - M810, Main, Floor 8",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Downtown Main
Mail America,"Plaza Suites - 1-527 #18, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Mainly Baskets Home,"Suites At Market Square - G-6041, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Maitland-Smith,"200 Steele - 323, Floor 3",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Malouf,"Market On Green - 100, Floor 1",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
"Man Wah USA, Inc.","Furniture Plaza - 410, 411, 412, Floor 4",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Marble Crafter,"Suites At Market Square - G-3029, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Marge Carson Inc,Hamilton Place - 121 N. Hamilton St.,Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
"Maria Yee, Inc.",119 N. Wrenn St.,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
Maria's Antiques,"Market Square - G-17, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Marilou Shop & Interiors,"Suites At Market Square - M-5025, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Marinelli Home,328 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Mario Lopez Torres Furniture,"Suites At Market Square - M-2043, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mario Pollo,"Market Square - G-39A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Mariyah Sultan Artist,"Chelsea On Green - C300, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
Market Imports,100 N. Centennial St.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Market on Green,Market On Green - 212 E. Green Dr.,Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Market On Main,Market On Main - 223 S. Main St.,Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Market Square,Market Square - 305 W. High Ave.,Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Market Square Tower,Market Square Tower - 305 W. High Ave.,Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Marque Luxury,"Suites At Market Square - T-612, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Marta Gualda Artifacts,"Market Square - G-11, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Martha and Ash,"Suites At Market Square - M-7054, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Martin Furniture,"Market On Green - 303, Floor 3",Shuttle Stop: 13 (Green Line),Neighborhood: Centennial Wrenn South
Martin Svensson Home,"Centers of High Point: Hamilton - 116, 117, Level 1",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Massoud Furniture Mfg Co Inc,"310 N. Hamilton St. - S-104, Floor 1",Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Master Cabinetmaker's - Kemisk Fagindustri,"220 Elm - 300, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Master Motion Studio 54,440 S. Wrenn St.,Shuttle Stop: 10 (Green Line),Neighborhood: Downtown Main
Master Motion Studio 54,"443 S. Main St., Studio 54B",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Master Sofa Group,"Market On Main - 223 S. Main St., Floor 5",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
MASTOUR Galleries,"Suites At Market Square - G-3039, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mat The Basics,"220 Elm - 310, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
MATAHARI,"Suites At Market Square - G-3040, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mathesons' Fine Art and Antiques ,"Market Square - G-58, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Matrix Furniture Group,"Plaza Suites - 310, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
MAX Home LLC,101 N. Main St.,Shuttle Stop: 26 (Red Line),Neighborhood: Downtown Main
MaxDivani S.R.L,"220 Elm - 216, Level 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Maxwood Furniture,"Centers of High Point: Hamilton - 226, Level 2",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
Mayo,"Furniture Plaza - 311, Floor 3",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Mazin Furniture Industries - East,212 Jacobs Pl,Shuttle Stop: 5 (Green Line),Neighborhood: Market Square & Elm
Mazin Furniture Industries - West,212 Jacobs Pl,Shuttle Stop: 5 (Green Line),Neighborhood: Market Square & Elm
McCollins Modern,"Chelsea On Green - A301, Floor 1",Shuttle Stop: 6 (Green Line),Neighborhood: Russell & Green
McCreary Modern Inc,311 Richardson St.,Shuttle Stop: 19 (Red Line),Neighborhood: Hamilton Wrenn
McDonough Fine Art/All Edges Gift,"Market Square - G-39B, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
McGuire Furniture,319 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
"McKinley Leather of Hickory, Inc.",416 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
MD Home,"Suites At Market Square - G-4041, G-5039, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
MDA Rug Imports,"Atrium on Main - 306, 307, Floor 3",Shuttle Stop: 9 (Green Line),Neighborhood: Downtown Main
Mecox,111 N. Wrenn St. ,Shuttle Stop: 25 (Red Line),Neighborhood: Downtown Main
"Mega Motion, LLC","Furniture Plaza - 100, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
"Meico, Inc.","Suites At Market Square - T-616, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mercana Furniture and Décor,"IHFC - C332, Commerce, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
MERCATUS Rickers & Timmermann GmbH,"220 Elm - 334, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Meridien Marketing & Logistics,"Hamilton Place - 119 North Hamilton St., Floor 1",Shuttle Stop: 17 (Red Line),Neighborhood: Hamilton Wrenn
Merit Design Studio,"Centers of High Point: Hamilton - 006, Lower Level",Shuttle Stop: 12 (Green Line),Neighborhood: Centennial Wrenn South
"Metropolitan Galleries, Inc.","Suites At Market Square - Global Sourcing Pavilion, T-802, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Meva,"IHFC - H624, Hamilton, Floor 6",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Mevsim Home,"Suites At Market Square - M-7004, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
MGM Marketing,"Plaza Suites - 1-553, Floor 1",Shuttle Stop: 4 (Green Line),Neighborhood: Downtown Main
Michael Amini | kathy ireland Home Designs,"IHFC - C802, Commerce, Floor 8",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Michael Millard-Lowe Antiques,"Market Square - G-45, G-47A, Ground",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Michael Nicholas Designs,315 W. Russell Ave.,Shuttle Stop: 7 (Green Line),Neighborhood: Russell & Green
Michael Thomas Furniture,311 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Michel Ferrand,"Suites At Market Square - G-7045, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Michelle Nussbaumer for Design Legacy,"Design Legacy - 126 Virginia Place, Floor 1",Shuttle Stop: 27 (Red Line),Neighborhood: North Elm
MIDJ Srl,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Miles Talbott Furniture,311 N. Hamilton St.,Shuttle Stop: 18 (Red Line),Neighborhood: Hamilton Wrenn
Millcraft Furniture Ltd.,"Radio Building, Floor 4",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Downtown Main
Millennium,"IHFC - H900, Hamilton, Floor 9",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Milliken & Company,"Market Square Tower - 409, Floor 4",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
Miniforms,"220 Elm - 328, Level 3",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Ministry of Economic Development/Ministerstwo Rozwoju,"Suites At Market Square - Global Sourcing Pavilion, T-4503, Top Floor",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Minori Casa,"IHFC - IH508, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Minted,"IHFC - IH110, Commerce, Floor 1",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Mirror Home,"IHFC - D319, Design Center, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Mirror-tique,"Suites At Market Square - G-2021, Ground",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mirth Studio,"Suites At Market Square - M-3015, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mitzi by Hudson Valley Lighting,"Market Square - M70, M90, M97, M99, Mezzanine",Shuttle Stop: 29 (Red Line),Neighborhood: Market Square & Elm
MLILY USA,"Plaza Suites - 1-542, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Mobican Furniture,"IHFC - D523, Design Center, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Mobil Fresno by Planum,1822 English Rd.,Shuttle Stop: 0 (Go Anywhere Shuttle),
Mobital,"IHFC - C550, Commerce, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Model No,"Plaza Suites - 1-527 #B-1, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Modern History Inc.,422 N. Wrenn St.,Shuttle Stop: 23 (Red Line),Neighborhood: Hamilton Wrenn
Modernplum Textiles for Living,"Suites At Market Square - M-5027, Mezzanine",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Modus Furniture International,"IHFC - C806, Commerce, Floor 8",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Modway,"IHFC - H524, Hamilton, Floor 5",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Moe's Home Collection,"IHFC - C302, Commerce, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
"Momeni, Inc.","IHFC - H345, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
Monarch Specialties Inc.,"Commerce & Design - 7A, 7N, Floor 7",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Montage Furniture Services,"Plaza Suites - 1-527 #27, Floor 1",Shuttle Stop: 3 (Green Line),Neighborhood: Downtown Main
Monte Carlo Ceiling Fans,"Commerce & Design - 2A, 2G, Floor 2",Shuttle Stop: 14 (Red/Green Line),Neighborhood: Market Square & Elm
Mood Dekor,"IHFC - H341, Hamilton, Floor 3",Shuttle Stop: 1 (Transportation Terminal),Neighborhood: Commerce Concourse
